ID	Timestamp	Product	Type	Event	Status	Resource
12915	2019/04/18 07:22:34.5245	.MUs.Helicopter:132	Helicopter	Transport	Complete	.MUs.AGV:1
12916	2019/04/18 07:22:34.5245	.MUs.Helicopter:132	Helicopter	Welding	Start	.Models.JobShop.Welding.Input
12917	2019/04/18 07:22:34.5245	.MUs.Helicopter:132	Helicopter	Welding	Waiting	.Models.JobShop.Welding.Input
12918	2019/04/18 07:22:40.4744	.MUs.Robot:134	Robot	Transport	Complete	.MUs.AGV:4
12919	2019/04/18 07:22:40.4744	.MUs.Robot:134	Robot	Sawing	Start	.Models.JobShop.Sawing.Input
12920	2019/04/18 07:22:40.4744	.MUs.Robot:134	Robot	Sawing	Waiting	.Models.JobShop.Sawing.Input
12921	2019/04/18 07:22:40.4744	.MUs.Helicopter:121	Helicopter	Transport	In progress	.MUs.AGV:1
12922	2019/04/18 07:22:46.2138	.MUs.Robot:105	Robot	Transport	Complete	.MUs.AGV:2
12923	2019/04/18 07:22:46.2138	.MUs.Robot:105	Robot	Painting	Start	.Models.JobShop.Painting.Input
12924	2019/04/18 07:22:46.2138	.MUs.Robot:105	Robot	Painting	Waiting	.Models.JobShop.Painting.Input
12925	2019/04/18 07:22:52.9366	.MUs.Helicopter:145	Helicopter	Arrival	Start	.Models.JobShop.Source
12926	2019/04/18 07:22:52.9366	.MUs.Helicopter:145	Helicopter	Arrival	Complete	.Models.JobShop.Source
12927	2019/04/18 07:22:52.9366	.MUs.Helicopter:145	Helicopter	Transport	Start	.Models.JobShop.Buffer
12928	2019/04/18 07:22:52.9366	.MUs.Helicopter:145	Helicopter	Transport	Waiting	.Models.JobShop.Buffer
12929	2019/04/18 07:23:00.4749	.MUs.Helicopter:121	Helicopter	Transport	Complete	.MUs.AGV:1
12930	2019/04/18 07:23:00.4749	.MUs.Helicopter:121	Helicopter	Sawing	Start	.Models.JobShop.Sawing.Input
12931	2019/04/18 07:23:00.4749	.MUs.Helicopter:121	Helicopter	Sawing	Waiting	.Models.JobShop.Sawing.Input
12932	2019/04/18 07:23:04.7594	.MUs.Console:124	Console	Transport	In progress	.MUs.AGV:3
12933	2019/04/18 07:23:16.2138	.MUs.Helicopter:100	Helicopter	Transport	In progress	.MUs.AGV:4
12934	2019/04/18 07:23:19.4418	.MUs.Console:135	Console	Painting	Complete	.Models.JobShop.Painting.Machine
12935	2019/04/18 07:23:19.4418	.MUs.Console:135	Console	Transport	Start	.Models.JobShop.Painting.Output
12936	2019/04/18 07:23:19.4418	.MUs.Console:135	Console	Transport	Waiting	.Models.JobShop.Painting.Output
12937	2019/04/18 07:23:19.4418	.MUs.Helicopter:110	Helicopter	Painting	In progress	.Models.JobShop.Painting.Machine
12938	2019/04/18 07:23:32.9371	.MUs.Console:114	Console	Transport	In progress	.MUs.AGV:2
12939	2019/04/18 07:23:34.0003	.MUs.Robot:116	Robot	Welding	Complete	.Models.JobShop.Welding.Machine
12940	2019/04/18 07:23:34.0003	.MUs.Robot:116	Robot	Transport	Start	.Models.JobShop.Welding.Output
12941	2019/04/18 07:23:34.0003	.MUs.Robot:116	Robot	Transport	Waiting	.Models.JobShop.Welding.Output
12942	2019/04/18 07:23:34.0003	.MUs.Robot:117	Robot	Welding	In progress	.Models.JobShop.Welding.Machine
12943	2019/04/18 07:23:34.6145	.MUs.Helicopter:120	Helicopter	Sawing	Complete	.Models.JobShop.Sawing.Machine
12944	2019/04/18 07:23:34.6145	.MUs.Helicopter:120	Helicopter	Transport	Start	.Models.JobShop.Sawing.Output
12945	2019/04/18 07:23:34.6145	.MUs.Helicopter:120	Helicopter	Transport	Waiting	.Models.JobShop.Sawing.Output
12946	2019/04/18 07:23:34.6145	.MUs.Robot:132	Robot	Sawing	In progress	.Models.JobShop.Sawing.Machine
12947	2019/04/18 07:23:42.9371	.MUs.Console:114	Console	Transport	Complete	.MUs.AGV:2
12948	2019/04/18 07:23:42.9371	.MUs.Console:114	Console	Drain	Start	.Models.JobShop.Drain
12949	2019/04/18 07:23:42.9371	.MUs.Console:114	Console	Drain	Complete	.Models.JobShop.Drain
12950	2019/04/18 07:23:44.7599	.MUs.Console:124	Console	Transport	Complete	.MUs.AGV:3
12951	2019/04/18 07:23:44.7599	.MUs.Console:124	Console	Drilling	Start	.Models.JobShop.Drilling.Input
12952	2019/04/18 07:23:44.7599	.MUs.Console:124	Console	Drilling	Waiting	.Models.JobShop.Drilling.Input
12953	2019/04/18 07:23:44.7599	.MUs.Console:124	Console	Drilling	In progress	.Models.JobShop.Drilling.Machine
12954	2019/04/18 07:23:47.6505	.MUs.Console:159	Console	Arrival	Start	.Models.JobShop.Source
12955	2019/04/18 07:23:47.6505	.MUs.Console:159	Console	Arrival	Complete	.Models.JobShop.Source
12956	2019/04/18 07:23:47.6505	.MUs.Console:159	Console	Transport	Start	.Models.JobShop.Buffer
12957	2019/04/18 07:23:47.6505	.MUs.Console:159	Console	Transport	Waiting	.Models.JobShop.Buffer
12958	2019/04/18 07:23:59.4418	.MUs.Robot:106	Robot	Transport	In progress	.MUs.AGV:1
12959	2019/04/18 07:24:06.2143	.MUs.Helicopter:100	Helicopter	Transport	Complete	.MUs.AGV:4
12960	2019/04/18 07:24:06.2143	.MUs.Helicopter:100	Helicopter	Drain	Start	.Models.JobShop.Drain
12961	2019/04/18 07:24:06.2143	.MUs.Helicopter:100	Helicopter	Drain	Complete	.Models.JobShop.Drain
12962	2019/04/18 07:24:07.6505	.MUs.Console:125	Console	Transport	In progress	.MUs.AGV:3
12963	2019/04/18 07:24:14.7599	.MUs.Helicopter:133	Helicopter	Transport	In progress	.MUs.AGV:2
12964	2019/04/18 07:24:28.7377	.MUs.Helicopter:110	Helicopter	Painting	Complete	.Models.JobShop.Painting.Machine
12965	2019/04/18 07:24:28.7377	.MUs.Helicopter:110	Helicopter	Transport	Start	.Models.JobShop.Painting.Output
12966	2019/04/18 07:24:28.7377	.MUs.Helicopter:110	Helicopter	Transport	Waiting	.Models.JobShop.Painting.Output
12967	2019/04/18 07:24:28.7377	.MUs.Console:136	Console	Painting	In progress	.Models.JobShop.Painting.Machine
12968	2019/04/18 07:24:31.8407	.MUs.Robot:132	Robot	Sawing	Complete	.Models.JobShop.Sawing.Machine
12969	2019/04/18 07:24:31.8407	.MUs.Robot:132	Robot	Transport	Start	.Models.JobShop.Sawing.Output
12970	2019/04/18 07:24:31.8407	.MUs.Robot:132	Robot	Transport	Waiting	.Models.JobShop.Sawing.Output
12971	2019/04/18 07:24:31.8407	.MUs.Robot:133	Robot	Sawing	In progress	.Models.JobShop.Sawing.Machine
12972	2019/04/18 07:24:37.8714	.MUs.Robot:117	Robot	Welding	Complete	.Models.JobShop.Welding.Machine
12973	2019/04/18 07:24:37.8714	.MUs.Robot:117	Robot	Transport	Start	.Models.JobShop.Welding.Output
12974	2019/04/18 07:24:37.8714	.MUs.Robot:117	Robot	Transport	Waiting	.Models.JobShop.Welding.Output
12975	2019/04/18 07:24:37.8714	.MUs.Console:147	Console	Welding	In progress	.Models.JobShop.Welding.Machine
12976	2019/04/18 07:24:42.0520	.MUs.Helicopter:146	Helicopter	Arrival	Start	.Models.JobShop.Source
12977	2019/04/18 07:24:42.0520	.MUs.Helicopter:146	Helicopter	Arrival	Complete	.Models.JobShop.Source
12978	2019/04/18 07:24:42.0520	.MUs.Helicopter:146	Helicopter	Transport	Start	.Models.JobShop.Buffer
12979	2019/04/18 07:24:42.0520	.MUs.Helicopter:146	Helicopter	Transport	Waiting	.Models.JobShop.Buffer
